number,title,abstract,applicant,publicNumber,publicDate,applicationNumber,applicationDate,IPCmain,IPC
1386,A Centralized Control Anti-Uav System Based On Sonic Attack,"The Invention Discloses A Centralized Control Anti-Uav System Based On Sonic Attack, Which Includes A Main Control And Display Device, An Early Warning Equipment Group, A Positioning Tracking Equipment Group And A Sonic Attack Equipment Group. The Early Warning Equipment Will Detect Target Location Information In The Early Warning Area It Is Sent To The Main Control And Display Device In Real Time To Display The Movement Track. When The Target Enters The Tracking Area, Select The Positioning Tracking Device And The Sonic Attack Device For The Target, And Stop The Early Warning Detection Of The Target, And Pass The Positioning Tracking Device At The Same Time Obtain Its Location Information And Realize Real-Time Aiming Of The Sonic Attack Equipment On The Target; When It Is Detected That The Target Enters The Attack Area, Control The Sonic Attack Equipment To Initiate A Sonic Attack, Causing It To Crash Due To Resonance, And Detect It Through The Positioning Tracking Device Whether The Device Is Destroyed, If So, Control The Sonic Attack Equipment To Stop The Attack. The Implementation Of The Invention Can Intelligently Judge And Physically Destroy Multiple Drone Targets At The Same Time.",University of Electronic Science and Technology,CN107167037A,2017/9/15 0:00,CN201710426890.6,2017/6/8 0:00,F41H11/02,F41H11/02
1387,A Centralized Control Anti-Uav System Based On Sonic Attack,"The Invention Discloses A Centralized Control Anti-Uav System Based On Sonic Attack, Which Includes A Main Control And Display Device, An Early Warning Equipment Group, A Positioning Tracking Equipment Group And A Sonic Attack Equipment Group. The Early Warning Equipment Will Detect Target Location Information In The Early Warning Area It Is Sent To The Main Control And Display Device In Real Time To Display The Movement Track. When The Target Enters The Tracking Area, Select The Positioning Tracking Device And The Sonic Attack Device For The Target, And Stop The Early Warning Detection Of The Target, And Pass The Positioning Tracking Device At The Same Time Obtain Its Location Information And Realize Real-Time Aiming Of The Sonic Attack Equipment On The Target; When It Is Detected That The Target Enters The Attack Area, Control The Sonic Attack Equipment To Initiate A Sonic Attack, Causing It To Crash Due To Resonance, And Detect It Through The Positioning Tracking Device Whether The Device Is Destroyed, If So, Control The Sonic Attack Equipment To Stop The Attack. The Implementation Of The Invention Can Intelligently Judge And Physically Destroy Multiple Drone Targets At The Same Time.",University of Electronic Science and Technology,CN107167037B,2018/8/21 0:00,CN201710426890.6,2017/6/8 0:00,F41H11/02,F41H11/02
1393,An Anti-Uav System Based On Sound Waves,"The Invention Discloses An Anti-Uav System Based On Sound Waves. The Present Invention First Finds The Position Information Of The Incoming Drone Through The Positioning And Tracking Device And Calculates The Aiming Position Deviation In Real Time, And Transmits It To The Control And Display Device In Real Time. The Control And Display Device Forwards The Aiming Position Deviation To The Sonic Attack Device In Real Time The Servo Module Is Designed To Drive The Sonic Attack Device To Dynamically Aim At The Target Drone In Real Time. When The Target Drone Enters The Early Warning Range, The Control And Display Device Will Display Its Movement Trajectory In Real Time. When The Target Drone Enters The Attack Range, The Sonic The Attack Device Sends An Attack Command To Send A Sound Wave Attack Signal To The Target Drone, Causing The Drone To Resonate And Fall. The Invention Realizes The Method Of Hardly Destroying The Drone In Ordinary And Special Occasions By Emitting Sound Waves That Resonate With The Components Of The Drone, So As To Not Only Effectively Strike The Drone Under Ordinary Circumstances, But Also Effectively Counterattack The Drone Under Special Circumstances. The Goal Of.",University of Electronic Science and Technology,CN107339914A,2017/11/10 0:00,CN201710426880.2,2017/6/8 0:00,F41H11/02,F41H11/02; F41H13/00
1455,An Intelligent Automatic Weapon Station,"The Present Invention Relates To An Intelligent Fully Automatic Weapon Station, Including A Firepower Detection Unit, A Firepower Control Unit, And A Firepower Execution Unit; The Firepower Detection Unit Is Used For Reconnaissance And Search For Firepower Strike Target Information, And The Firepower Control Unit Is Based On The Firepower Detection And Search Unit The Results Of The Reconnaissance And Search Results Generate Fire Control Instructions, The Fire Execution Unit, According To The Fire Control Instructions, Realizes Automatic Ammunition Loading, Aiming And Strikes On The Target; The Fire Reconnaissance Unit Is Obtained Through The Uav Aerial Reconnaissance, Ground Photoelectric Search And C4Isr System Data Link Firepower Strike Target Information. The Invention Has A High Degree Of Automation And Intelligence, Can Automatically Search And Lock Targets According To Multiple Perception Systems, And Can Meet The Needs Of Fast, Accurate, Efficient And Intelligent Frontier Support.",Beijing Institute of Mechanical Equipment,CN109029126A,2018/12/18 0:00,CN201811062163.7,2018/9/12 0:00,F41H13/00,F41H13/00
1456,An Intelligent Automatic Weapon Station,"The Present Invention Relates To An Intelligent Fully Automatic Weapon Station, Including A Firepower Detection Unit, A Firepower Control Unit, And A Firepower Execution Unit; The Firepower Detection Unit Is Used For Reconnaissance And Search For Firepower Strike Target Information, And The Firepower Control Unit Is Based On The Firepower Detection And Search Unit The Results Of The Reconnaissance And Search Results Generate Fire Control Instructions, The Fire Execution Unit, According To The Fire Control Instructions, Realizes Automatic Ammunition Loading, Aiming And Strikes On The Target; The Fire Reconnaissance Unit Is Obtained Through The Uav Aerial Reconnaissance, Ground Photoelectric Search And C4Isr System Data Link Firepower Strike Target Information. The Invention Has A High Degree Of Automation And Intelligence, Can Automatically Search And Lock Targets According To Multiple Perception Systems, And Can Meet The Needs Of Fast, Accurate, Efficient And Intelligent Frontier Support.",Beijing Institute of Mechanical Equipment,CN109029126B,2020/11/27 0:00,CN201811062163.7,2018/9/12 0:00,F41H13/00,F41H13/00
1497,A Search Method For Optimal Launch Time Of Active Defense Missile Using Predictive Guidance,"The Invention Relates To The Technical Field Of Aircraft Guidance And Control, And Discloses An Optimal Launch Timing Search Method For An Active Defense Missile Using Predictive Guidance. The Method Includes: An Active Defense Three-Body Confrontation Kinematics Model, And The Flight Status Of The Carrier Aircraft And The Incoming Missile Solve The Flight Trajectory Of The Incoming Missile Under The Known Guidance Law, Calculate The Predicted Intercept Point Sequence At Different Launch Times Of The Defense Missile, Calculate The Predicted Course Deviation Angle Sequence Formed By The Defense Missile And The Predicted Intercept Point, And Search For The Optimal Launch Of The Defense Missile Opportunity. This Method Searches For The Optimal Launch Timing Of The Defense Missile In The Active Defense Problem, And Provides The Carrier With The Ability To Intelligently Launch. Compared With The Non-Optimal Launch Timing, The Guidance Overload Of The Defense Missile Is Optimal, And The Guidance Energy Loss Is The Smallest. , Which Reduces The Performance Requirements For Defensive Missiles, Thereby Increasing The Survival Probability Of The Carrier.",Tsinghua University,CN110657713A,2020/1/7 0:00,CN201910739750.3,2019/8/12 0:00,F41H11/02,F41H11/02
1498,A Search Method For Optimal Launch Time Of Active Defense Missile Using Predictive Guidance,"The Invention Relates To The Technical Field Of Aircraft Guidance And Control, And Discloses An Optimal Launch Timing Search Method For An Active Defense Missile Using Predictive Guidance. The Method Includes: An Active Defense Three-Body Confrontation Kinematics Model, And The Flight Status Of The Carrier Aircraft And The Incoming Missile Solve The Flight Trajectory Of The Incoming Missile Under The Known Guidance Law, Calculate The Predicted Intercept Point Sequence At Different Launch Times Of The Defense Missile, Calculate The Predicted Course Deviation Angle Sequence Formed By The Defense Missile And The Predicted Intercept Point, And Search For The Optimal Launch Of The Defense Missile Opportunity. This Method Searches For The Optimal Launch Timing Of The Defense Missile In The Active Defense Problem, And Provides The Carrier With The Ability To Intelligently Launch. Compared With The Non-Optimal Launch Timing, The Guidance Overload Of The Defense Missile Is Optimal, And The Guidance Energy Loss Is The Smallest. , Which Reduces The Performance Requirements For Defensive Missiles, Thereby Increasing The Survival Probability Of The Carrier.",Tsinghua University,CN110657713B,2020/10/16 0:00,CN201910739750.3,2019/8/12 0:00,F41H11/02,F41H11/02
1517,"Missile Testing Device For Testing Correct Communication Between Missile And Carrier Aircraft, Has Communication Interface Connected With Carrier Aircraft For Exchanging Milbus Signals And Receiver For Navigation Signals","It Missile Test Device Is Proposed A (2) For Testing The Correct Communication Between A Missile (3) And A Carrier Aircraft, Wherein The Missile Test Device (2) A To The Carrier Aircraft Connectable Communication Interface (18) For Exchanging [...] Signals And A Receiver (6) For Navigational Signals And At Least One Conduit (25) For Separable Electrical Connection Of The Missile Test Device (2) And At Least A Further Interface With The Board Tension Net Of The Carrier Aircraft (27) For Data Exchange The Missile Test Device (2) To The Carrier Aircraft And A Computer (30) Has, To Control The Interaction Of The Missile Test Device (2) Is Formed With The Carrier Aircraft, Wherein The Missile Test Device (2) To Be Disposed At A Weapon Station (4) With A Wireless Interface Device Is Formed And The Carrier Aircraft (16) For Exchanging Data Signals And Control Signals Is Formed With The Carrier Aircraft.",MBDA Deutschland GmbH,DE102012017891A1,2014/5/15 0:00,DE102012017891,2012/9/11 0:00,F41G7/00,F41G7/00;F42B35/00
1518,Method For Testing The Correct Communication Between A Missile And A Carrier Aircraft And Missile Testing Device,The Missile Testing Device (2) Has A Communication Interface Connected With A Carrier Aircraft For Exchanging Milbus Signals And A Receiver (6) For The Navigation Signals. The Missile Testing Device Is Formed For Arrangement On A Weapon Station (4) Of The Carrier Aircraft. The Missile Testing Device Is Formed With The Carrier Aircraft With A Wireless Interface Device (16) For Exchanging Data Signals And Control Signals. An Independent Claim Is Included For A Method For A Testing The Correct Communication Between A Missile And A Carrier Aircraft.,MBDA Deutschland GmbH,DE102012017891B4,2019/5/2 0:00,DE102012017891,2012/9/11 0:00,F41G7/00,F41G7/00; F42B35/00
1524,Fragmentation Munition With Limited Explosive Force,"A Fragmentation Munition Has A Fragmentation Canister Containing Preformed Fragments, And An Explosive Cartridge That Fits Into A Central Hole In The Fragmentation Canister. The Explosive Cartridge Includes An Outer Shell, And An Explosive Within The Outer Shell. The Munition May Be Configured To Precisely Deliver Fragments To A Relatively Small Area, Such As An Area That Is A Few Meters In Radius. Toward That End The Explosive May Be Configured Primarily To Rupture The Housing And Secondarily To Spread Fragments Over A Limited Area. The Main Kinetic Energy Of The Fragments Is From The Acceleration They Gain As Part Of The Munition Falls From A Launcher, Such As A Carrier Aircraft. The Dispersed Fragments May Have A Similar Downward Velocity After Controlled Dispersal By The Explosive, Allowing Them Considerable Kinetic Energy (Considerable Penetrating Power), But With A Precisely Controlled Dispersal Area.",Raytheon Company,EP3186583B1,2019/8/7 0:00,EP15781470,2015/4/1 0:00,F42B12/20,F42B12/20;F42B12/32
1550,Compact Single-Operation Safety Device,"Field :  Aircraft Engineering.
    Substance :  Invention Relates To Safety Devices Of Aircraft Onboard Systems,  Particular,  To Those Of Drones Launched From Carrier Aircraft. Proposed Device Comprises Case,  At Least,  Two Micro Switches,  Rod,  Cotter Pin,  Cotter Pin Extractor,  Ball Retainers And Spring-Loaded Rocker.
    Effect :  Smaller Sizes,  Higher Reliability.
    6 Dwg","Otkrytoe aktsionernoe obshchestvo ""Korporatsija ""Takticheskoe raketnoe vooruzhenie""",RU2481551C1,2013/5/10 0:00,RU2011151984,2011/12/20 0:00,F42C15/00,F42C15/00; H01H17/16
1551,Fighter Device For Destruction Of Drones,"Field: Aircraft Engineering.
    Substance: Fighter For Destruction Of Drones Comprises A Drone, Surface Guidance System Composed Of Radar And Net. Drone Is Equipped With Video Cameras Of Surveillance, Up To Four Displacement Transducers And Up To Four Containers Coupled Therewith And Furnished With Hitting Elements Composed Of Cassettes Filled With Nets Made Of High-Strength Polymer Thread From Para-Aramide Fiber ""Aramida"" Or""Kevlar"" Or ""Tvaron"". Weights-Containers Composed Of Cartridges With Band-Type Parachutes Fitted In Cases Are Secured At Net Angles. One End Of Band Parachute Is Secured To Said Net. Case With Coiled Band Is Shot By Exploder With Retarder When Target Is Caught By The Net. Displacement Transducers And Cartridges Coupled Therewith Are Located At Fuselage Top, Bottom, Right And Left Sides.
    Effect: Higher Probability Of Target Destruction.
    2 Dwg",Golodjaev Aleksandr Ivanovich; Chistjakov Nikolaj Valer'evich,RU2490584C1,2013/8/20 0:00,RU2012120114,2012/5/15 0:00,F41H11/04,F41H11/04
1561,Method Of Automatic Group Target Allocation Of Fighters Based On Priority Of Targets,"Field: Aviation.
    Substance: Invention Relates To Aircraft Control Systems And Can Be Used In A Complex Of Functional Programs For Control And Guidance Of Aircraft Systems For Assigning Targets To Interceptors When Aircraft Groups Are Confronted. Disclosed Method Enables To Determine Purpose Of Targets For Interceptors In A Group Confrontation. Method Is Based On Using An Interception Efficiency Functional. Functional Is Determined For Each Pair Of ""Interceptor-Target"" And Takes Into Account Both Time And Energy Costs For Interception. Then Among A Certain Class Of Trajectories One Is Selected, Which Ensures Minimum Of Specified Functional At Fulfillment Of Restrictions On Maximum Speed And Acceleration Of Interceptor. Intercept Matrix Is Composed Of Obtained Minimum Values Of Functionals. For Important Purposes, Probability Of Interception Of A Target By One Interceptor Is Determined And Required Probability Of Their Interception Is Set. Required Number Of Interceptors For Each Of The Important Targets Is Determined Based On The Required Probability Of Their Destruction. Then, Such Distribution Of Targets By Interceptors Is Sought, Which Minimizes Total Quality Functional And Which Provides Required Probability Of Interception Of Important Targets. Depending On The Number Of Interceptors, The Minimization Problem Is Formulated Either As An Assignment Problem With An Interception Matrix Or With Some Other Matrix Obtained From An Interception Matrix, Or In The Form Of A Problem Of Searching For A Minimum Value Flow In A Graph. Solving This Task Determines Assignment Of Targets To Interceptors Together With Corresponding Trajectories Of Interception.
    Effect: Technical Result Is Providing Automatic Optimum Assignment Of Targets To Interceptors Based On Priority Of Targets.
    1 Cl, 3 Dwg","Aktsionernoe obshchestvo ""Kontsern radiostroeniya ""Vega""",RU2690234C1,2019/5/31 0:00,RU2018125650,2018/7/12 0:00,F41G7/22,F41G7/22
1563,Aviation Detonating Fuze,"Field: Weapons And Ammunition.
    Substance: Invention Relates To Fuses Of Free Fall Aerial Bombs (Ab) And Is Intended For Safe Operation And Application Of Ab. It Can Be Used For Formation Of Cocking Command Of Aircraft Fuse On The Basis Of Physical Factors Arising After Separation Of Ab From Carrier And When It Is In Free Fall. Device Comprises A Housing With An Electric Trigger Consisting Of A Contact Assembly For Connection To A Power Supply Of The Carrier, A Conductive Bundle And An Electrical Filter Connected To The Input Of The Power Supply, A Magnetometer Unit, Magnetic Induction Module Calculation Unit, Angular Position Calculation Unit, Magnetic Induction Gradient Calculation Unit, Cocking Command Generation Unit, Safety-Actuating Mechanism And Target Sensor. Output Of The Magnetometer Unit Is Connected To The Inputs Of The Magnetic Induction Module Calculation Unit, The Angular Position Calculation Unit, The Magnetic Induction Gradient Calculation Unit, Which Outputs Are Connected To The Cocking Command Generation Unit Connected To The Safety-Actuating Mechanism, The Actuating Input Of Which Is Connected To The Target Sensor Output.
    Effect: Higher Safety Of Ab Operation And Use.
    1 Cl, 1 Dwg",AKTSIONERNOE OBSHCHESTVO GOSUDARSTVENNYJ NAUCHNO ISSLEDOVATELSKIJ INSTITUT MASH IMENI V V BAKHIREVA,RU2703580C1,2019/10/21 0:00,RU2019108909,2019/3/27 0:00,F42C14/06,F42C14/06
1564,Method Of Determining Coordinates Of A Point Of Ammunition Model Drop,"Field :  Testing Technology;  Weapons And Ammunition.
    Substance :  Invention Relates To Methods Of Testing Fire Systems,  In Particular,  For Assessment Of Target Hit Accuracy Of A Munition Model. To Determine The Coordinates Of The Drop Point Of Ammunition (1) Model On The Bomber Target,  The Model Of Ammunition (1) Is Dropped On The Bomber Target,  On Platform (2) In The Center Of The Bomber Target A Laser Measuring Device (3) Is Installed,  Reflector (4) Is Installed In The Center Of The Point Of Dip Of Model (1),  The Laser Measuring Device (3) Is Turned About Its Vertical Axis,  It Is Oriented To The Center Of Reflector (4) And The Probing Laser Signal Is Emitted. Laser Measuring Device (3) Receives A Reflected Laser Signal And Measures The Time Interval Between The Probing Radiation And The Reception Of The Reflected Laser Signal. Laser Measuring Device (3) Automatically Recalculates The Measured Time Interval Into A Linear Value,  And The Measured Range Value Is Displayed On The Display.
    Effect :  Higher Accuracy Of Determining The Coordinates Of The Point Of Fall Of The Mockup Of The Ammunition,  Including In The Absence Of Ammunition On The Ground Of Radiation And Seismic Vibrations At The Moment Of Impact.
    1 Cl,  1 Dwg",RYBALKO ANDREJ GRIGOREVICH,RU2707976C1,2019/12/3 0:00,RU2019115311,2019/5/20 0:00,F41J5/00,F41J5/00
1566,Robotic Diagnostic Complex Of Technical Intelligence,"Field :  Aviation.
    Substance :  Invention Relates To Unmanned Light-Armoured Equipment And Is Intended For Automated Monitoring Of Technical Condition Of Self-Propelled Howitzers. In A Complex Containing Light-Weighted Kevlar Housing,  Chassis On Caterpillar Rubber Track With Power Electric Drives Of Right And Left Driving Wheels,  Storage Battery,  Diesel-Generator,  Remote Control Panel,  Additionally Introduced Glonass Transceiver,  12.7 Mm Tank Machine Gun With Electric Trigger,  Hydraulic Pump,  Hydraulic Drive With Load Handling Device And Manipulator,  Winch With Electric Drive,  Control Unit For Telecommunication Devices,  Control Unit Of Hydraulic Drives And Chassis,  Pc Of Diagnostics And Control Of Units,  Seat Of Diagnostic Operator,  Laying Box With Set Of Tools And Accessories,  Connection Cables With Connectors,  Mini-Drone. On The Housing In The Movable Video Unit,  Four Video Cameras Are Disposed Panoramic.
    Effect :  Complex Provides Reconnaissance Of Area With Failed Samples Of Artillery Weapons,  Automated Diagnostics Of Technical State And Development Of Solution For Evacuation Method.
    1 Cl,  4 Dwg",FEDERALNOE GOSUDARSTVENNOE KAZENNOE VOENNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO OBRAZOVANIYA VOENNA,RU2709640C1,2019/12/19 0:00,RU2018127118,2018/7/23 0:00,F41H13/00,F41H13/00
1573,Strategic Aviation Trans-Arctic System,"Field: Military Equipment.
    Substance: Invention Relates To Military Equipment. Strategic Aviation Trans-Arctic System Contains Optional And Remotely Manned Convertiplane-Missile Carriers With Bidirectional Wing With Double-Sided Symmetry In Two Perpendicular Planes. Wing Is Mounted On Pivot Hinge Of Underwing Fuselage-Nacelle, In Which Combined Gas Turbine Engines With Free Power Turbines, Leading Two Transverse Lifting Fans (Lf), And/Or In Cowlings, Two Turbofans Creating At Vertical And Short Take-Off/Landing Lifting And/Or Propulsive-Thrust Rod With Operating Or Fixed Lf With Automatically Open/Closed Upper Longitudinal Flaps And Lower Transverse Louvered Rudders Of Wing Annular Fairings In Configuration Of Jet Airplanes When Performing Short Take-Off/Landing And Horizontal Flight. Convertiplane-Missile Carriers Used From Aircraft-Carrying Ice Breaker Carry Guided Missiles.
    Effect: Higher Probability Of Destruction Of Surface Or Ground Target Located At Long Range.
    4 Cl, 1 Dwg, 1 Tbl",DUROV DMITRIJ SERGEEVICH,RU2736530C1,2020/11/17 0:00,RU2020100509,2020/1/9 0:00,F42B15/10,F42B15/10;B64C29/00
1582,Small Uavs With Radar Receivers To Be Used As Bistatic Radar Launched From Tactical Fighter Jets,"A System For Bistatic Radar Target Detection Employs An Unmanned Aerial Vehicle (Uav) Having A Radar Antenna For Bistatic Reception Of Reflected Radar Pulses. The Uav Operates With A Flight Profile In Contested Airspace. A Tactical Fighter Aircraft Having A Radar Transmitter For Transmitting Radar Pulses Operates With A Flight Profile In Uncontested Airspace. A Communications Data Link Operably Interconnects The Uav And The Tactical Fighter Aircraft, The Communications Data Link Transmitting Data Produced By The Bistatic Reception Of Reflected Radar Pulses In The Uav Radar Antenna To The Fighter Aircraft.",The Boeing Company,US20170297712A1,2017/10/19 0:00,US14524268,2014/10/27 0:00,B64D5/00,B64D5/00;B64C39/02;F42B15/08;G01S7/00;G01S13/00
1586,Device For Carriage Of A Weapon System For Tactical Transport Aircraft,"The Invention Relates To A Fire Support Device, In Particular For A Tactical Transport Airplane, Which Device Comprises: A. An Interface (331) For Mechanical Fixing Adapted To A Load Carrying Pylon, In Particular Of An Aircraft; B. An Interface (335) For Electrical Power Connection; C. A Munition (361); D. A Sighting System (250); E. Means (240) For Firing Said Munition; F. A Fire Control Emitter And A Fire Control Receiver (340) And Means For Connection Between Said Emitter And Said Receiver.",GAILLARD PATRICK;AA ROK,WO2013121031A2,2013/8/22 0:00,WOEP13053143,2013/2/17 0:00,B64D1/04,B64D1/04;F41F3/065
1587,Device For Carriage Of A Weapon System For Tactical Transport Aircraft,"The Invention Relates To A Fire Support Device, In Particular For A Tactical Transport Airplane, Which Device Comprises: A. An Interface (331) For Mechanical Fixing Adapted To A Load Carrying Pylon, In Particular Of An Aircraft; B. An Interface (335) For Electrical Power Connection; C. A Munition (361); D. A Sighting System (250); E. Means (240) For Firing Said Munition; F. A Fire Control Emitter And A Fire Control Receiver (340) And Means For Connection Between Said Emitter And Said Receiver.",GAILLARD PATRICK;AA ROK,WO2013121031A3,2014/2/20 0:00,WOEP13053143,2013/2/17 0:00,B64D1/04,B64D1/04;F41F3/065
1593,Fragmentation Munition With Limited Explosive Force,"A Fragmentation Munition (10) Has A Fragmentation Canister (22) Containing Preformed Fragments (66), And An Explosive Cartridge (24) That Fits Into A Central Hole (80) In The Fragmentation Canister. The Explosive Cartridge Includes An Outer Shell (110), And An Explosive (114) Within The Outer Shell. The Munition May Be Configured To Precisely Deliver Fragments To A Relatively Small Area, Such As An Area That Is A Few Meters In Radius. Toward That End The Explosive May Be Configured Primarily To Rupture The Housing And Secondarily To Spread Fragments Over A Limited Area. The Main Kinetic Energy Of The Fragments Is From The Acceleration They Gain As Part Of The Munition Falls From A Launcher, Such As A Carrier Aircraft. The Dispersed Fragments May Have A Similar Downward Velocity After Controlled Dispersal By The Explosive, Allowing Them Considerable Kinetic Energy (Considerable Penetrating Power), But With A Precisely Controlled Dispersal Area.",RAYTHEON COMPANY,WO2016022181A1,2016/2/11 0:00,WOUS15023873,2015/4/1 0:00,F42B12/20,F42B12/20;F42B12/32
1603,"Method For Stacking A Vehicle On Top Of Another, Similar Vehicle, And Stackable Vehicle For Carrying Out Said Method","The Invention Refers To A Method For Stacking A First Motor Vehicle On Top Of A Second Motor Vehicle, Comprising The Steps Of : Providing A Set Of Rear Ramps At The Rear Part Of The Lower Vehicle, Said Rear Ramps Linking The Rear Part Of The Roof Of The Cabin Of The Lower Vehicle, To The Ground; Providing A Set Of Front Ramps Or Supports In The Front Part Of The Roof Of The Cabin Of The Lower Vehicle, Said Set Of Front Ramps Or Supports Being Such That The Front Wheels Of The Upper Vehicle, Can Roll Over The Same; Rolling The Upper Vehicle On Said Rear Ramps Of The Lower Vehicle So That The Upper Vehicle Ascends Or Climbs From A Position On The Ground To A Position On Top Of The Roof Of The Lower Vehicle; Continue Rolling Said Upper Vehicle Over The Roof Of The Lower Vehicle Until It Reaches A Final Stack Position, Indicated By A Stopping Means, In Which The Front Wheels Of The Upper Vehicle Rest Upon The Front Ramps Or Supports Of The Lower Vehicle, The Rear Wheels Of The Upper Vehicle Rest Upon The Rear Ramps Of The Lower Vehicle, Where The Upper Vehicle And Lower Vehicle Are Substantially Vertically Aligned, And Where The Front Wheels And Rear Wheels Of The Upper Vehicle In Final Rest Position Are In A Lower Height Than The Height Of The Roof Of The Lower Vehicle; Securing The Upper Vehicle To The Lower Vehicle By Suitable Fastening Means, Where The Fastening Force Of The Fastening Means Preferably Is Such That The Suspensions Of The Upper Vehicle Are Compressed By About 3 To 5 Cm, Thus Reducing The Overall Height Of The Vehicle Stack; And, Removing, Folding Or Retracting Part Of Or The Entirety Of The Rear Ramps Of The Lower Vehicle. Additionally, The Invention Refers To A Vehicle That Can Carry Out Said Stacking Method, Which Comprises A Vehicle Body Comprising Four Wheels And A Roofed Cabin, A Pair Of Front Ramps Or Supports Located At Both Sides Of The Front End Of The Roof Of The Cabin And A Pair Of Rear Ramps Located At Both Sides Of The Rear End Of The Roof Of The Cabin. The Stackable Vehicle Further Comprises Means For Rapid Aerial Deployment (Airdrop) Of Vehicles Transported In A Stack In A Transport Aircraft.",PRONELLO Ferry; PRONELLO Heriberto A,WO2017103891A1,2017/6/22 0:00,WOIB16057740,2016/12/16 0:00,B60P3/08,B60P3/08;B62D47/00;F41A23/26
1614,"Unmanned Aerial Vehicle For Aerial Reconnaissance, And Unmanned Defense System And Method Using Same","Disclosed Are An Unmanned Aerial Vehicle For Aerial Reconnaissance, Which Performs Object Detection And Object Hitting On The Basis Of Image Information, And An Unmanned Defense System And Method Using The Same. The Unmanned Aerial Vehicle For Aerial Reconnaissance Comprises: An Image Information Collection Unit For Collecting Image Information For A Predetermined Area; And A Control Unit For Detecting An Object Existing In The Predetermined Area On The Basis Of The Collected Image Information. Accordingly, The Present Invention Can Continuously Perform Reconnaissance And Surveillance Using The Unmanned Aerial Vehicle, So As To Collect And Deliver Accurate Information On The Status Of Movements Of Friendly Troops And Enemy Troops, Detect An Object Estimated As The Enemy Troops And Distinguish Between Friend And Foe, And Hit The Object Estimated As The Enemy Troops. Therefore, It Is Possible To Perform Various Military Operations When A War Breaks Out And Thereby Significantly Reduce The Damage Of The Friendly Troops.",SAFEUSDRONE CO LTD,WO2018043988A1,2018/3/8 0:00,WOKR17009239,2017/8/24 0:00,B64C39/02,B64C39/02;B64D43/00;B64D47/08;F41H11/00;F41H13/00;G06T7/00
1765,A Missile Warfare System Based On Individual Combat Vehicles,"The Invention Relates To A Weapon System, In Particular To A Weapon System That Uses A Special Individual Combat Vehicle Carrying Multiple Missiles To Carry Out Long-Distance Missile Strangling Dozens Of Kilometers Away. It Mainly Includes Individual Combat Vehicles, Carrier Vehicles, Command Vehicles, Missile Ammunition Supplement Vehicles, Battery And Rechargeable Generator Sets, Miniature Remote Reconnaissance Aircraft, Remote Control Helicopters And Their Remote Control Devices. Eventually, The Land Warfare Will Be Upgraded To Modern Iii Missile Warfare.",Gao Wengbin,CN106595393A,2017/4/26 0:00,CN201610875393.X,2016/10/8 0:00,F41H13/00,F41H13/00
1791,Vehicle-Mounted Anti-Uav Net Bomb Interception System,"A Vehicle-Mounted Anti-Uav Net Bomb Interception System Includes A Search Pan/Tilt, An Early Warning Detector And A Launch Tube Set On The Search Pan/Tilt, And Sub-Munitions Set In The Launch Tube. The Present Invention Solves The Technical Problem That The Interception Method Proposed In The Prior Art Is Only Applicable To The Propeller-Type Uav Of Metal Materials, Is Difficult To Apply To The High-Speed And Maneuverable Uav Targets, And Is Easy To Cause Secondary Damage To Ground Personnel Or Other Targets . The Invention Obtains The Distance And Speed Information Of The Uav Through A Millimeter-Wave One-Shot And Double-Receiving Early Warning Frequency Modulation Radar, And Searches, Tracks, And Automatically Aims At The Uav By Searching The Cloud Platform, And Launches The Net Bomb; The Net Bomb Is Equipped With A Proximity Fuse To Missing Distance Is The Base Point For Timely Ignition, Launching Small Rockets, So That The Net Bomb Can Obtain The Best Net Opening Speed And Flight Speed Coordination, Minimize The Time To Approach The Target, And Improve The Interception And Capture Efficiency Of The Net Bomb Interception System. It Is Suitable For High Speed , Mobile Drones For Precise Interception And Capture.","Wuhu Bogao Optoelectronics Technology Co., Ltd.",CN107054678B,2019/8/2 0:00,CN201710039123.X,2017/1/18 0:00,B64F1/02,B64F1/02;F41H11/02
1813,A Combat Reconnaissance Robot,"The Invention Provides A Combat Reconnaissance Robot, Which Includes An Unmanned Aerial Vehicle, A Towing Rope, A Towing Net, And A Combat Robot. The Characteristic Is That The Towing Net Is Woven From Flexible Fiber Ropes, And A Towing Rope Is Arranged Around The Towing Net. , The Upper End Of Each Towing Rope Is Connected To The Bottom Of The Frame Of A Drone, And A Combat Robot Is Placed On The Towing Net; The Combat Robot Can Be Carried In The Air By Setting Up The Drone And The Towing Net, And The Combat Robot Can Use The Anesthesia Gun To Attack The Enemy. The Soldiers On The Side Are Anesthetized And Will Not Harm The Other¡¯S Life, And The Combat Robot Can Also Bring The Enemy Soldiers Back To The Drag Net.",Meng Qingshi,CN107702595A,2018/2/16 0:00,CN201710807305.7,2017/9/8 0:00,F41H7/00,F41H7/00; B64C39/02
