title,type,content,keywords,author,time,url
FAA Approves Renewal of Orbital Sciences Launch Operator Licenses,,"After completing a comprehensive review, the FAA approved the renewal of two Launch Operator Licenses for Orbital Sciences, LLC, a subsidiary of Northrop Grumman.The licenses are valid for five years and authorize the company to conduct flights of its Pegasus launch vehicle from the Wallops Flight Facility in Virginia and the Cape Canaveral Space Force Station in Florida. Orbital Sciences must still receive FAA authorization for specific launches.The Pegasus operates by being attached to a carrier aircraft and launched while airborne to deliver payloads to low earth orbit.The FAA＊s top priority in regulating commercial space transportation is that launch and reentry operations are safe for the public. The agency protects public safety by licensing commercial launch and reentry activities and monitoring regulatory compliance in all phases of FAA-licensed operations. It also issues safety approvals for launch and reentry vehicles, various safety systems and the personnel performing licensed activities.An FAA license is required to conduct any commercial launch or reentry, the operation of any launch or reentry site by U.S. citizens anywhere in the world, or by any individual or entity within the United States. ",,FAA,"March 17, 2021 7:47:13 AM EDT",
Laser Strikes Increase Even with Fewer Planes Flying,,"WASHINGTON 每Laser strikes against pilots increased in 2020 even with the overall decrease in air traffic operations. In 2020, pilots reported 6,852 laser strikes to the FAA. This is an increase from 6,136 laser strikes reported in 2019 and is the highest number reported to the agency since 2016.The Federal Aviation Administration (FAA) remains vigilant in raising awareness about misuse of lasers when they are pointed towards aircraft. Intentionally aiming lasers at an aircraft poses a safety threat to pilots and violates federal law. Many high-powered lasers can incapacitate pilots flying aircraft that may be carrying hundreds of passengers.The FAA works closely with federal, state and local law enforcement agencies to pursue civil and criminal penalties against people who purposely aim a laser at an aircraft. The agency takes enforcement action against people who violate Federal Aviation Regulations by shining lasers at aircraft and can impose civil penalties of up to $11,000 per violation. The FAA has imposed civil penalties up to $30,800 against people for multiple laser incidents.Please watch our video about the dangers of lasers, statistics on laser strikes and read our fact sheet for more information.",,FAA,"March 08, 2021 8:24:30 AM EST",
Press Release 每 FAA Selects Five Host Airports to Test and Evaluate Unmanned Aircraft Detection and Mitigation Systems,,"The Federal Aviation Administration (FAA) today selected five host airports to evaluate technologies and systems that could detect and mitigate potential safety risks posed by unmanned aircraft. The effort is part of the agency＊s Airport Unmanned Aircraft Systems Detection and Mitigation Research Program.The FAA selected the following airports:Atlantic City International Airport in Atlantic City, New JerseySyracuse Hancock International Airport in Syracuse, New YorkRickenbacker International Airport in Columbus, OhioHuntsville International Airport in Huntsville, AlabamaSeattle-Tacoma International Airport in Seattle, WashingtonThese airports meet FAA requirements for diverse testing environments and represent airport operating conditions found across the United States.The research will lead to the implementation of new technologies that will make airports safer for passengers and manned aircraft. Researchers plan to test and evaluate at least 10 technologies or systems at these airports. Testing will begin later this year and continue through 2023. It will create standards for future unmanned aircraft detection and mitigation technologies at airports around the country.The FAA Reauthorization Act of 2018 requires the agency to ensure that technologies used to detect or mitigate potential risks posed by unmanned aircraft do not interfere with safe airport operations. The FAA does not support the use of counter-UAS systems by any entities other than federal departments with explicit statutory authority to use this technology, including requirements for extensive coordination with the FAA to ensure safety risks are mitigated.",,FAA,2-Mar-21,
FAA Statement on Pratt & Whitney Engine Emergency Airworthiness Directive,,"The FAA issued an Emergency Airworthiness Directive (AD) tonight that requires U.S. operators of airplanes equipped with certain Pratt & Whitney PW4000 engines to inspect these engines before further flight.The FAA is taking this action as the result of a fan-blade failure that occurred Saturday on a Boeing 777-200 that had just departed from Denver International Airport. Although the aircraft landed safely, the failure resulted in damage to the engine, an in-flight engine fire, and damage to the airplane.After reviewing the available data and considering other safety factors, the FAA determined that operators must conduct a thermal acoustic image (TAI) inspection of the large titanium fan blades located at the front of each engine. TAI technology can detect cracks on the interior surfaces of the hollow fan blades, or in areas that cannot be seen during a visual inspection.As these required inspections proceed, the FAA will review the results on a rolling basis. Based on the initial results as we receive them, as well as other data gained from the ongoing investigation, the FAA may revise this directive to set a new interval for this inspection or subsequent ones.The previous inspection interval for this engine was 6,500 flight cycles. A flight cycle is defined as one takeoff and landing.This AD is effective immediately upon receipt. The FAA will share this information with other international civil aviation authorities.",,FAA,"February 24, 2021 9:13:14 AM EST",
FAA Announces Super Bowl LV Safety Plan,,"The Federal Aviation Administration (FAA) is working with federal, state and local law enforcement agencies, the aviation community, and the National Football League to ensure safe, secure and efficient operations before, during and after Super Bowl LV. The Super Bowl will be held Feb. 7, 2021, at Raymond James Stadium in Tampa, Fla.The agency is planning for hundreds of additional take-offs and landings and aircraft parked at Tampa Bay airports during Super Bowl week. Special procedures, including Temporary Flight Restrictions (TFR) and a No Drone Zone will limit flights around Raymond James Stadium before, during and after the game. The game day TFR will go into effect at approximately 5:30 p.m. EST. It will cover a 30 nautical mile (34.5 mile) ring, centered over the stadium and from the ground up to 18,000 feet in altitude. It will expire at 11:59 p.m. EST, but may be extended if conditions warrant. Drones also are prohibited inside the TFR. The FAA has established additional TFRs to restrict drone flights for two nautical miles (2.3 miles) around Julian B. Lane Riverfront Park and Curtis Hixon Waterfront Park from the ground to an altitude of 2,000 feet from Friday, January 29, through Saturday, February 6, during event hours.Pilots must be aware of the latest TFRs and check Notices to Airmen (NOTAM) before flying. Pilots and drone operators who enter the TFRs without permission could face civil penalties that exceed $30,000 and potential criminal prosecution for flying drones in the TFR. The FAA encourages drone operators to check all notices (PDF) to determine where drones may fly.Drone pilots should check the FAA＊s B4UFly app to determine when and where they may fly.The TFR will not affect regularly scheduled commercial flights at Tampa International Airport (TPA). Emergency, medical, public safety and military operations may fly in the TFR while it is in place, in coordination with air traffic control.The North American Aerospace Defense Command (NORAD) enforces TFRs in real time. ",,FAA,"February 02, 2021 8:17:48 AM EST",
FAA Updates on Boeing 737 MAX,,"The Federal Aviation Administration is proposing updates to the Flight Standardization Board (FSB) report and Master Minimum Equipment List (MMEL) for the Boeing 737 MAX. The draft updates, which are subject to public comment, primarily reflect differences between the original 737 MAX and the new 737-8200 series airplane. Airlines use the FSB report to develop pilot training. The new 737-8200 can carry up to 200 passengers and is equipped with an additional exit door. The FAA has proposed additional training to account for design changes associated with these features. The draft FSB report also includes minor revisions that are part of the agency＊s ongoing continued operational safety oversight. None of the proposed changes would affect the training curriculum that the FAA approved as part of the return to service of the 737 MAX. The MMEL spells out the circumstances under which airlines may still be operate flights without certain systems or components. The proposed MMEL adds new relief for items that were identified through the agency＊s ongoing interactions with operators and the manufacturer. None of the proposed revisions involve the aircraft＊s automated flight control system, which was the subject of a 20-month review and certification following the fatal accidents of Lion Air Flight 610 and Ethiopian Airlines Flight 302. The FAA will accept comments on the draft FSB report through February 16, 2021. Comments on the draft MMEL will be accepted through February 24, 2021. The FAA will post final versions of both documents after the agency reviews and addresses those comments. ",FAA Statement on Updates to the FSB Report and MMEL,FAA,1/25/2021,
Press Release 每 FAA Announces Final Rule to Facilitate the Reintroduction of Civil Supersonic Flight,,"WASHINGTON, DC 〞 Today the U.S. Department of Transportation and the Federal Aviation Administration (FAA) issued a final rule (PDF) to facilitate the safe development of civil supersonic aircraft. The rule streamlines and clarifies procedures to obtain FAA approval for supersonic flight testing in the United States.※Today＊s action is a significant step toward reintroducing civil supersonic flight and demonstrates the Department＊s commitment to safe innovation,§ said U.S. Transportation Secretary Elaine L. Chao.This rule will help ensure that companies developing these aircraft clearly understand the process for gaining FAA approval to conduct flight testing, which is a key step in ultimately bringing their products to market.※The FAA supports the new development of supersonic aircraft as long as safety parameters are followed,§ said FAA Administrator Steve Dickson. ※The testing of supersonic aircraft at Mach 1 will only be conducted following consideration of any impact to the environment.§The Department and the FAA anticipate taking additional regulatory actions to enable the development of supersonic aircraft.",,FAA,6-Jan-21,
FAA Issues Restrictions on UAS Operations at DOD Facilities,,"Washington 每The Federal Aviation Administration (FAA) today announced Unmanned Aircraft Systems(UAS) airspace restrictions over additional national security sensitive locations, effective December 30.In cooperation with its federal partners, the FAA will restrict UAS operations in the airspace over two locations. The first facility is Rock Island Arsenal located between Davenport, Iowa and Rocks Island, Illinois. The second facility is Biometric Technology Center in Clarksburg, West Virginia. Restrictions on these Department of Defense facilities are to address concerns about drone activity over security sensitive facilities. Information on the FAA Notice to Airmen (NOTAM), FDC 0/5116, can be found on the FAA＊s UAS Data Delivery System (UDDS) website. This website contains the text of FDC 0/5116 (click on ※UAS NOTAM FDC 0/5116§ on scroll bar along the top of the page).UAS operators are strongly advised to review these NOTAMs on FAA＊s UDDS website, which defines these restrictions, and all of the currently covered locations. Further down the page is an interactive map (※Map of FAA UAS Data§) displaying restricted airspace throughout the U.S. Zooming in will enable viewers to click on the new DOD locations and see the specific restrictions. Each of the locations are in yellow since the restrictions are pending until the Dec. 30 effective date, at which point they will become red.The restrictions will also be included in the FAA＊s B4UFLYmobile app.UAS operators who violate these flight restrictions may be subject to enforcement action, including potential civil penalties and criminal charges.The FAA considers requests by eligible federal security agencies for UAS-specific flight restrictions using its authority under 14 CFR ∫ 99.7. The agency will announce any future changes, including additional locations, as appropriate.",,FAA,"December 29, 2020 8:43:49 AM EST",
FAA Begins Scoping Period for Environmental Review at SpaceX Launch Site,,"The Federal Aviation Administration (FAA) is holding a public scoping period for the draft Environmental Assessment (EA) related to plans by SpaceX to apply for licenses for suborbital and orbital launches of its Starship/Super Heavy project at its facility in Boca Chica, Texas.The scoping period will help the FAA in determine the scope of issues for analysis in the draft EA. The FAA requests public comments on potential alternatives and impacts, and identification of any relevant information, studies, or analyses of any kind concerning impacts affecting the quality of the human environment. The FAA also invites comments on its consideration of preparing a Programmatic EA for this effort.The deadline to submit comments is January 22, 2021, and may be submitted to the following email address: spacexbocachica@icf.com.The proposed update to Starship/Super Heavy operations falls outside of the scope of the existing final Environmental Impact Statement (EIS) and Record of Decision for the Boca Chica launch site and requires additional environmental review under the National Environmental Policy Act (NEPA). SpaceX is working with the FAA to prepare a draft EA which will be subject to the FAA＊s evaluation and approval.The EA will allow the FAA to determine the appropriate course of action: preparation of an EIS because the proposed action＊s environmental impacts would be significant; issuance of a Finding of No Significant Impact (FONSI); or issuance of a ※Mitigated FONSI§ providing for mitigation measures to address the proposed action＊s environmental impacts. The FAA may determine which course of action it will take during the EA process or after SpaceX presents a draft EA for FAA approval. As part of the application process, SpaceX must also complete a safety review and develop agreements in addition to the environmental review. Information about the FAA environmental review process as it relates to commercial space transportation is posted at faa.gov/space/environmental.",,FAA,"December 22, 2020 12:11:33 AM EST",
FAA To Begin Environmental Review at SpaceX Texas Launch Site,,"SpaceX has informed the Federal Aviation Administration (FAA) that it plans to apply for licenses for suborbital and orbital launches of its Starship spacecraft powered by the Super Heavy rocket at its launch site in Boca Chica, Texas.The proposed update to Starship/Super Heavy operations falls outside of the scope of the existing final Environmental Impact Statement (EIS) and Record of Decision for the launch site and requires additional environmental review under the National Environmental Policy Act (NEPA). The FAA is in the beginning stages of conducting the environmental review of the SpaceX proposal and developing a public outreach plan.  The FAA intends to provide scoping information for the project soon. SpaceX is working with the FAA to prepare a draft Environmental Assessment (EA) which will be subject to the FAA＊s evaluation and approval.The EA will allow the FAA to determine the appropriate course of action: preparation of an EIS because the proposed action＊s environmental impacts would be significant; issuance of a Finding of No Significant Impact (FONSI); or issuance of a ※Mitigated FONSI§ providing for mitigation measures to address the proposed action＊s environmental impacts. The FAA may make its determination during the EA process or after SpaceX presents a draft EA for FAA approval. To receive the licenses, SpaceX must complete a safety review and develop agreements for the license application in addition to the environmental review. Information about the FAA environmental review process as it relates to commercial space transportation is posted at faa.gov/space/environmental.",,FAA,"November 23, 2020 4:19:27 PM EST",
"FAA Home ? News ? Press Releases & Statements
Press Release 每 U.S. Transportation Secretary Elaine L. Chao Announces Successful Completion of Drone Pilot Program, Announces New Program Called BEYOND",,"WASHINGTON 每 U.S. Secretary of Transportation Elaine L. Chao today announced the three-year Unmanned Aircraft Systems (UAS) Integration Pilot Program (IPP) successfully concluded on Oct. 25. Eight of the nine state, local and tribal governments that participated in the program have signed new agreements with the Federal Aviation Administration (FAA) to continue to tackle remaining UAS integration challenges.※The three years of information gathered under the drone Integration Pilot Program will be applied to a new initiative called BEYOND, which will further advance the safe integration of drones into our national air space,§ said U.S. Transportation Secretary Elaine L. Chao.※The IPP propelled the American drone industry forward, allowing for unprecedented expansions in testing and operations through innovative private-public partnerships across the country. Now, the BEYOND program will build upon this success, tackling the next big challenges facing drone integration. The Trump Administration remains committed to the safe and innovative development of drone technologies for the benefit of the American people,§ said U.S. Chief Technology Officer Michael Kratsios.A Presidential Memorandum launched the IPP in October 2017, setting off a competitive selection process from 149 applicants. Using innovative strategies, the IPP participants and their industry partners crafted successful safety cases to operate under the FAA＊s existing regulations. Participants used the regulations to conduct package delivery, inspect pipelines and power lines, assess flood damage, count cattle, respond to 911 calls, inspect aircraft and many other missions. The data from these flights has informed ongoing rulemaking, policy and guidance, and will continue to support future efforts.※At the onset of the public health emergency, many of the IPP participants were able to pivot from their original missions to support the COVID-19 response and recovery, demonstrating the increasing value of drone operations in this new environment,§ said FAA Administrator Steve Dickson.Eight of the nine participants selected for IPP will participate in BEYOND, including:Choctaw Nation of OklahomaInnovation and Entrepreneurship Investment Authority of VirginiaKansas Department of TransportationMemphis-Shelby County Airport AuthorityNorth Carolina Department of TransportationNorth Dakota Department of TransportationCity of Reno, NevadaUniversity of Alaska-FairbanksVisit our website for additional information on BEYOND.",,FAA,30-Oct-20,
Press Release 每 U.S. Transportation Secretary Elaine L. Chao Announces Historic Commercial Space Transportation Reforms,,"WASHINGTON 每 U.S. Secretary of Transportation Elaine L. Chao today announced the publication of the Federal Aviation Administration＊s (FAA) Streamlined Launch and Reentry Licensing Requirements Final Rule (PDF) for commercial space transportation launches and reentries.※This historic, comprehensive update to commercial space launch and reentry licensing requirements facilitates greater growth in this industry and helps America to maintain our #1 position in the world,§ said U.S. Transportation Secretary Elaine L. Chao.This rule modernizes the way FAA regulates and licenses commercial space operations and allows the burgeoning aerospace industry to continue to innovate and grow, while maintaining public safety. Deputy Assistant to the President and Executive Secretary of the National Space Council Dr. Scott Pace said, ※In meeting the President＊s mandate in Space Policy Directive-2 to streamline regulations on commercial spaceflight, the Department of Transportation is strengthening the United States＊ continued leadership in space commerce. I commend Secretary Chao, the Department, and the Office of Commercial Space Transportation for updating launch regulations and licensing to ensure the United States remains the flag of choice for the growing commercial space sector.§The new rule consolidates four regulatory parts and applies a single set of licensing and safety regulations for all types of vehicle operations. It also provides flexibility for operators to meet safety requirements. The rule improves efficiency by encouraging launch and reentry operators to suggest and implement design and operational solutions to meet the regulatory standards.※This rule paves the way for an industry that is moving at lightning speed,§ said FAA Administrator Steve Dickson. ※We are simplifying the licensing process and enabling industry to move forward in a safe manner.§ The final rule＊s improved application processes (PDF) allow:A single operator＊s license that can be used to support multiple launches or reentries from potentially multiple launch site locations.Early review when applicants submit portions of their license application incrementally.Applicants to negotiate mutually agreeable reduced time frames for submittals and application review periods.Applicants to apply for a safety element approval with a license application, instead of needing to submit a separate application.Additional flexibility on how to demonstrate high consequence event protection.Neighboring operations personnel to stay during launch or reentry in certain circumstances.Ground safety oversight to be scoped to better fit the safety risks and reduce duplicative requirements when operating at a federal site.This rule will become effective 90 days after publication in the Federal Register. The FAA will initially seek public comment (for a period of 30 days) on three Advisory Circulars  (ACs) on the following topics:  High Consequence Protection (PDF), High Fidelity Flight Safety Analysis (PDF), and Computing Systems and Software (PDF). The FAA may issue updated versions of these ACs if warranted based on comments received.  Each AC will contain a feedback form with specific instructions on how to provide comments to the FAA on that AC.Twenty-four additional ACs will be published within one year or as needed. Legacy licenses can still be used for up to five years after the rule＊s effective date.FAA is responsible for ensuring the protection of the public, property, national security and foreign policy interests of the U.S. during commercial launch or reentry activities. The agency also encourages, facilitates, and promotes U.S. commercial space transportation. To date, FAA has licensed or permitted more than 380 launches and reentries.",,FAA,15-Oct-20,
Media Advisory 每 FAA Administrator Scheduled to Pilot 737 MAX,,"FAA Administrator Steve Dickson is scheduled to pilot the Boeing 737 MAX on Sept. 30 in Seattle.Afterward, a news conference will be broadcast live on the FAA＊s website and social media platforms.Dickson and FAA Deputy Administrator Dan Elwell were in Seattle this week, completing the recommended new pilot training for the aircraft as part of the preparation for the flight. Elwell will not be aboard the flight on Wednesday.For planning purposes, the flight is scheduled to depart from Boeing Field at approximately 9 a.m. Pacific Time on Wednesday. The flight is expected to take about two hours.Dickson will brief reporters on his flight at 11:30 a.m. Pacific Time.WHO: FAA Administrator Steve DicksonWHAT: Post flight briefing of the 737 MAXWHEN: September 30 at 11:30 a.m. PTHOW: Watch live on FAA social media channels 每 Twitter, Facebook, YouTube###",Flight is scheduled for Sept. 30 at 9 a.m. PT with a media availability to follow at 11:30 a.m. PT.,FAA,30-Sep-20,
FAA Administrator Completes Boeing 737 MAX Flight,,"Dickson＊s flight took two hours and included a number of scenarios to demonstrate the proposed software and design changes to the aircraft＊s automated flight control system. Dickson, along with FAA Deputy Administrator Dan Elwell, completed the new recommended pilot training for the aircraft on Tuesday.While Dickson＊s flight is an important milestone, a number of key steps remain in the FAA＊s evaluation of Boeing＊s proposed changes to the aircraft＊s flight control system and training.A copy of Dickson＊s opening remarks at a news briefing in Seattle following the flight are included below.The FAA will not speculate about how long it will be until the aircraft is returned to passenger service. As we have stated throughout our work on the 737 MAX, the agency is following a deliberate process and will take the time it needs to thoroughly review Boeing＊s work. We will lift the grounding order only after FAA safety experts are satisfied that the aircraft meets certification standards.The remaining tasks include: Flight Standardization Board (FSB) Report 每 A Joint Operations Evaluation Board (JOEB) recently met for nine days to review Boeing＊s proposed training for 737 MAX flight crews. The JOEB was comprised of civil aviation authorities from the United States, Canada, Brazil, and the European Union. The results of this evaluation will be incorporated into the draft FAA Flight Standardization Board (FSB) report, which will be posted for public comment in the near future. The FAA will publish a final FSB report after reviewing and addressing public comments on the draft FSB Report.Final Design Documentation and Technical Advisory Board (TAB) Report 每 The FAA will review Boeing＊s final design documentation to evaluate compliance with all FAA regulations. The multi-agency TAB will also review the final Boeing submission and issue a final report prior to a final determination of compliance by the FAA.Continued Airworthiness Notification to the International Community (CANIC) & AD 每 The FAA will issue a CANIC providing notice of pending significant safety actions and will publish a final AD that addresses the known issues for grounding. The AD will advise operators of required corrective actions before aircraft may re-enter commercial service.FAA Rescinds Grounding Order 每 This marks the official ungrounding of the aircraft, pending completion by operators of the work specified in the AD, along with any required training.Certificates of Airworthiness 每 The FAA will retain its authority to issue airworthiness certificates and export certificates for all new 737 MAX airplanes manufactured since the grounding. The FAA will perform in-person, individual reviews of these aircraft.Operator Training Programs 每 The FAA will review and approve training programs for all Part 121 operators.These actions are applicable only to U.S. air carriers and U.S.-registered aircraft. While our processes will inform other civil aviation authorities, they must take their own actions to return the Boeing 737 MAX to service for their air carriers.  The FAA will ensure that our international counterparts have all necessary information to make a timely, safety-focused decision.Text of FAA Administrator Steve Dickson＊s opening remarks at a news briefing following his flight aboard the 737 MAX on Wednesday, September 30, in Seattle.Good morning and thank you for joining us today.Shortly after I took the helm at the FAA, I made a promise that I would fly the 737 MAX and that I wouldn＊t sign off on its return to service until I was comfortable putting my family on it.I took the same training that the Joint Operations Evaluation Board looked at during its work at London Gatwick Airport in recent days. This was followed by a session in the 737 MAX simulator, during which I had the opportunity to experience a variety of problems that presented the relevant emergencies that might occur.Today, I flew a similar flight profile in the airplane.I want to make it clear that my flight was separate from the official certification process that＊s still underway by the FAA.I＊m fortunate to be surrounded by some of the top aviation safety experts in the world to advise me on the engineering aspects of this project.But I＊m a pilot, and my lens into the world of aviation has been my decades of experience in the front of the airplane. It was important to me to experience the training and the handling of the aircraft firsthand, so I can have the most complete understanding possible as we continue to move forward with the process.As you know, we posted a Notice of Proposed Rulemaking for an Airworthiness Directive that would address various safety issues that we and our international partners identified during the last several months. The comment period on that NPRM closed on September 21, and we are now reviewing and responding to those comments before posting a final rule.We expect to take the input from the JOEB and include that in a Draft Flight Standardization Board report, which should be posted for comment in the near future.I know you＊ve heard me say this before, but the FAA continues to take a thorough and deliberate approach in our review of Boeing＊s proposed changes to the 737 MAX. We are in the home stretch, but that doesn＊t mean we are going to take shortcuts to get it done by a certain date.The FAA 〞 I 〞 will not approve the plane for return to passenger service until I＊m satisfied that we＊ve adequately addressed all of the known safety issues that played a role in the tragic loss of 346 lives aboard Lion Air Flight 610 and Ethiopian Airlines Flight 302.Not a day goes by that I and my colleagues don＊t think about the victims and their families, and our solemn responsibility to get this right. And we will get it right.Now, I＊d be happy to answer any questions.",SEATTLE 〞 Administrator Steve Dickson fulfilled his promise today to pilot the Boeing 737 MAX before the Federal Aviation Administration approves the aircraft＊s return to service.,FAA,"October 06, 2020 10:26:02 AM EDT",
FAA Continues Drone Integration Initiatives,,"The FAA＊s Collegiate Training Initiative (CTI) program allows educational institutions to collaborate with the FAA to help students pursue their aviation career goals. The UAS-CTI program recognizes institutions that prepare students for careers in unmanned aircraft systems (UAS), commonly referred to as drones.The following schools meet the eligibility guidelines and have been selected to participate in the program: Blue Mountain Community College, Pendleton, OregonCentral Oregon Community College, Bend, OregonDakota College, Bottineau, North DakotaEmbry Riddle Aeronautical University, Daytona Beach, FL, Prescott, AZ, and Worldwide CampusGreen River College, Auburn, WashingtonGulf Coast Community College, Panama City, FloridaHazard Community and Technical College, Hazard, KentuckyHinds Community College, Bolton, MississippiIdaho State University, Poncatello, IdahoIndiana State University, Terra Haute, IndianaMiraCosta College, Carlsbad, CaliforniaMountain Empire Community College, Big Stone Gap, VirginiaMountwest Community and Technical College, Huntington, West VirginiaNiagara Community College, Sanborn, New YorkNorth Carolina State University, Raleigh, North CarolinaNortheastern Technical College, Cheraw, South CarolinaNorthland Community and Technical College, Thief River Falls, MinnesotaNorthwestern Michigan College, Traverse, MichiganOklahoma City Community College, Stillwater, OklahomaPalomar College District, San Marcos, CaliforniaSanta Rosa Junior College, Windsor, CaliforniaSouthwestern College, Chula Vista, CaliforniaTallahassee Community College, Tallahassee, FloridaUniversity of Maine at Augusta, August, MaineUniversity of North Dakota, Grand Forks, North DakotaWSU Tech, Wichita, KansasThe FAA launched the UAS-CTI program in April. Participating institutions will engage with the FAA, other participants, general industry, local governments, law enforcement, and regional economic development entities to address labor force needs.  This collaboration will ensure that UAS-CTI school graduates have the knowledge and skills needed to pursue a successful career in a UAS-related field.Post-secondary institutions with UAS curriculums seeking recognition as UAS-CTI partners may still apply for this distinction. Program guidelines are posted on our website.The FAA Reauthorization Act of 2018 (Public Law 115-254) required the FAA to establish a collegiate training initiative program relating to unmanned aircraft and to establish a process to designate consortia of public, two-year institutions of higher education as Community and Technical College Centers of Excellence in Small Unmanned Aircraft System Technology Training.  ",The Federal Aviation Administration (FAA) announced 26 schools have been selected so far to participate in the Unmanned Aircraft Systems Collegiate Training Initiative (UAS-CTI). ,FAA,"August 18, 2020 3:57:05 PM EDT",
FAA Restricts Airspace for Upcoming Space Flight,,"The NOTAMS are in preparation for NASA＊s historic manned space flight to the International Space Station aboard the SpaceX Crew Dragon capsule. This the first launch of astronauts to Earth orbit on an American-built spacecraft from American soil since 2011.The FAA＊s role is to ensure the safety of the airspace by prohibiting all aircraft operations within 30 nautical miles of NASA＊s Kennedy Space Center during the reported timeframe unless the operation is exempted. There are three types of NOTAMs: airspace, to close the airspace near the launch; flow, to provide route guidance to aviation operators; and security, to implement security measures for aircraft and Unmanned Aircraft Systems (UAS) in the area.Aircraft operations involving UAS, flight training, aerobatic, glider, seaplane, parachute, ultralight, hang gliding, balloon, agriculture/crop dusting and more are prohibited. Pilots who do not comply with the requirements, special instructions or procedures in the NOTAM may be intercepted, detained by law enforcement, and subjected to any of the following additional actions: Civil penalties and the suspension or revocation of airmen certificates; or  Criminal charges, including charges under Title 49 of the United States Code, Section 46307; or  The U.S. Government may use deadly force against the airborne aircraft, if it is determined that the aircraft poses an imminent security threat.Pilots should always monitor TFRs and NOTAMs before they fly so that they are aware of airspace restrictions.","The Federal Aviation Administration (FAA) has issued multiple Notice to Airmen (NOTAMS) Temporary Flight Restriction (TFR) around Cape Canaveral, Fla., through Saturday, May 30, 2020.",FAA," May 28, 2020 5:18:32 PM EDT",
NASA Awards Contract for X-59 Community Overflight Operations,,"NASA has selected Lockheed Martin Aeronautics Company of Palmdale, California, to provide support for the community overflight response phase of the agency＊s Low-Boom Flight Demonstration (LBFD) mission, part of the Integrated Aviation Systems Program in the agency＊s Aeronautics Research Mission Directorate. The contract is awarded through the agency＊s Armstrong Flight Research Center in Edwards, California.The indefinite-delivery/indefinite-quantity price contract has a total value of $40 million and a performance period that runs through Dec. 14, 2025.The contract will provide extra structural components and subsystems for the X-59 aircraft as a risk-reduction strategy to minimize downtime for the airplane during high-tempo operations.The X-59 is designed to fly at supersonic speeds without producing the loud sonic booms typically associated with such speeds, instead reducing them to quiet sonic thumps.In 2024, NASA will fly the X-59 over select communities to measure public perception of the sound. The data from these tests will be given to U.S. and international regulators, potentially opening the future to commercial supersonic flight over land.",,Monroe Conner,19-Dec-20,
NASA Awards Contract for Flight and Integration Services,,"NASA has selected Virgin Galactic LLC of Las Cruces, New Mexico, and Masten Space Systems Inc. of Mojave, California, to provide flight and integration services for payloads chosen by the agency＊s Flight Opportunities program, which is managed at the agency＊s Armstrong Flight Research Center in Edwards, California. The two companies join four others to provide service under commercial indefinite-delivery/indefinite-quantity (IDIQ) contracts with NASA.The new IDIQ base contract awards run through July 31, 2023, and have no options. The multiple award contracts are firm-fixed-price orders with a total combined value of $45 million.The government intends to acquire payload space on commercial flights, including payload integration services, to fly technology payloads on platforms that provide high altitude, reduced gravity, or other relevant environments required to test and advance the technologies.The Flight Opportunities program works toward maturing flight readiness of new cross-cutting technologies that advance or enable multiple future space missions. Since 2011, the program has provided opportunities to fly more than 700 technology payloads on flight platforms that provide relevant environments required to test technologies in order to advance their technology readiness. The program is part of NASA＊s Space Technology Mission Directorate.",,Sean Potter,5-Jan-21,
NASA Awards Global Change Research Support Services Contract,,"NASA has awarded the United States Global Change Research Program (USGCRP) Support Services contract to ICF Incorporated LLC of Fairfax, Virginia.This cost-plus-fixed-fee contract has a value of $25,870,622 and an indefinite-delivery/indefinite-quantity component maximum value of $8 million, for a total potential contract value of $33,870,622. The five-year period of performance includes a one-year base period and four one-year options.The purpose of the USGCRP support contract is to acquire technical and administrative support for the USGCRP National Coordination Office (NCO), located in Washington. The NCO＊s mission is to assist the nation and the world to understand, assess, predict, and respond to human-induced and natural processes of global change. To that end, the office provides technical, analytical and programmatic support to the Subcommittee for Global Change Research, which provides guidance to interagency groups that report to the subcommittee. The NCO assists agencies in carrying out the mandated responsibilities of the USGCRP, including coordination of science needs and investments across the government; the development, production and dissemination of documents and other products; and interactions with the Office of Management and Budget and the Office of Science and Technology Policy, as well as domestic and international non-governmental entities.The USGCRP is a federal program that coordinates and integrates global change research across government agencies to serve the nation and the world. The USGCRP began in 1989 as a presidential initiative and was mandated by Congress in the Global Change Research Act of 1990 (P.L. 101-606). The program is directed by the Subcommittee on Global Change Research under the Committee on Environment of the National Science and Technology Council. NASA is one of the 13 federal agencies participating in this program.",,Sean Potter," Apr 9, 2021",
