title,content,type,time
A Study on Means of Compliance for Lightning Protection in the System and Structure of Air Vehicles,"The average probability of a lightning strike to transport aircraft operating in airline service has been estimated to be approximately one strike in every year (or one strike per 1,000 through 20,000 flight hours). The important thing is not the probability of a lightning strike to aircraft, but the fact that aircraft is struck by lightning. Therefore, lightning protection design for aircraft should be qualified and compliance with airworthiness standards related to lightning protection must be substantiated in the process of certification. In this paper, I studied means of compliance for lightning protection through analysis of some test cases, including the KC-100 airplane that firstly obtained civil type certificate in Korea. Based on this paper, it will be also necessary to study on the effect of lightning for space launch vehicles.",Transport aircraft,2020
The Potential of Flight: US Aviation and Pan-Americanism During the Early Twentieth Century,"This article examines the formative years of flight in the United States and argues that Pan-Americanism served as a guiding ideology in the development of the nation's early aeronautic endeavors. With the advent of the airplane at the turn of the twentieth century, U.S. Pan-Americanists believed that aviation would provide a solution to the sociological and practical problems that hindered the development of international unity among the American republics. By physically transporting individuals, products, and cultural media rapidly across the hemisphere via the sky, aircraft would unite the peoples of Latin America and the United States and promote inter-American cooperation. To see the Pan-American potential of aircraft fulfilled, Pan-Americanists cooperated with private U.S. aviation organizations to expound the value of flight and to generate interest in aviation across the Western Hemisphere. Although a variety of Pan-American initiatives were successfully undertaken during the 1910s, the outbreak of the First World War hindered the movement and ultimately led to the transformation of aviation into a tool of U.S. imperialism in Latin America. By examining the origins of U.S. aviation through the lens of Pan-Americanism, this article seeks to reevaluate the pervading imperial narrative of the history of U.S. aviation in the Western Hemisphere.",Transport aircraft,2020
Impact Analysis of Demand Management on Runway Configuration in Metroplex Airports,"Congestion in airports and metroplexes is increasingly becoming a key bottleneck in the global air transport system. It is largely due to inefficient utilization of runway resources and its consequences of imbalance between demand and capacity. Existing studies mainly focus on runway configuration in a single airport system, and little consideration is given to the impact of demand management on runway configuration in metroplexes. Therefore, this paper proposes a methodology and assessment framework for runway configuration with a focus on the exploitation of multiple active runways in metroplex airports. The primary innovation is an integrated runway configuration management formulation with air traffic demand management options. The first is static and dynamic runway configuration management models featuring three optimization objectives, four cases of demand-capacity imbalance, three air traffic demand management options and three assessment scenarios, for eleven priority settings. The second is an efficient multi-objective evolutionary algorithm with a mechanism of objective-guided individual selection, which can obtain close-to optimal solutions with a very low computational cost within 6 seconds. Computational experiments for the real-world case of the Shanghai metroplex airports show that, the inducing strategy of minimizing the total number of adjusted flights is the best mechanism for making satisfactory tradeoffs among multiple objectives in dynamic runway configuration. The proposed model reduces the total number of adjusted flights by an average of 36% compared with the baseline static runway configuration management. Furthermore, unlike the conventional approach of giving priority to arriving aircraft, a higher priority for departures is more effective in enhancing the performance of runway systems and reducing the number of adjusted flights. The proposed framework can be applied at pre-tactical (e.g., one-day planning) as well as tactical (e.g., several-hours rolling horizon) levels.",Transport aircraft,2020
Novel Lyapunov-Based Autonomous Controllers for Quadrotors,"In this paper, we look into the dynamic motion planning and control of an unmanned aerial vehicle, namely, the quadrotor, governed by its dynamical equations. It is shown for the first time that the Direct or the Second Method of Lyapunov is an effective tool to derive a set of continuous nonlinear control laws that not only provide smooth trajectories from a designated initial position to a designated target, but also continuously minimise the roll and pitch of the quadrotor en route to its targets. The latter successfully addresses the challenging problem of a quadrotor autonomously transporting valuable and fragile payloads safely to the designated target. Computer simulations are used to illustrate the effectiveness of the proposed control laws.",Transport aircraft,2020
Novel Approach for Detecting the Neurological or Behavioral Impact of Physiological Episodes (PEs) in Military Aircraft Crews,"Introduction Military and civil aviation have documented physiological episodes among aircrews. Therefore, continued efforts are being made to improve the internal environment. Studies have shown that exposures to many organic compounds present in emissions are known to cause a variety of physiological symptoms. We hypothesize that these compounds may reversibly inhibit acetylcholinesterase, which may disrupt synaptic signaling. As a result, neural proteins leak through the damaged blood-brain barrier into the blood and in some, elicit an autoimmune response.Materials and Methods Neural-specific autoantibodies of immunoglobulin-G (IgG) class were estimated by the Western blotting technique in the sera of 26 aircrew members and compared with the sera of 19 normal healthy nonaircrew members, used as controls.Results We found significantly elevated levels of circulating IgG-class autoantibodies to neurofilament triplet proteins, tubulin, microtubule-associated tau proteins (Tau), microtubule-associated protein-2, myelin basic protein, and glial fibrillary acidic protein, but not S100 calcium-binding protein B compared to healthy controls.Conclusion Repetitive physiological episodes may initiate cellular injury, leading to neuronal degeneration in selected individuals. Diagnosis and intervention should occur at early postinjury periods. Use of blood-based biomarkers to assess subclinical brain injury would help in both diagnosis and treatment.",Transport aircraft,2020
A Computer Vision-Based Navigation and Localization Method for Station-Moving Aircraft Transport Platform with Dual Cameras,"In order to develop equipment adapted to the aircraft pulse final assembly line, a vision-based aircraft transport platform system is developed. This article explores a guiding method between assembly stations which is low-cost and easy to change routes by using two-dimensional code and two complementary metal oxide semiconductor (CMOS) cameras. The two cameras installed on the front and back of the platform read the two-dimensional code containing station information to guide the platform. In the process of guiding, the theoretical position and posture of the platform at each assembly station are known, but there is a difference between the actual and theoretical values due to motion errors. To reduce the influence of the deviation on the navigation route, a localization method is proposed based on the two-dimensional images captured by the cameras. Canny edge detection is applied to the processed image to obtain the position of the two-dimensional code in the image, which can measure the angle/distance deviation of the platform. Then, the computer can locate the platform precisely by the information in the two-dimensional code and the deviation measured by the image. To verify the feasibility of the proposed method, experiments have been performed on the developed platform system. The results show that the distance and angle errors of the platform are within +/- 10 mm and +/- 0.15 degrees respectively.",Transport aircraft,2020
Hybrid Electric Propulsion Using Doubly Fed Induction Machines,"This paper considers a hybrid electric propulsion architecture where most of the electric power is transmitted from the generator to the motors without conversion. Doubly fed induction machines are chosen for generation and propulsion, due to their ability to operate over a range of speeds using reduced-size power converters. The focus of this paper is on the presentation and demonstration of a strategy that allows for the stable and independent operation of multiple motors using the power produced by a single generator. The control methodology includes synchronization, soft-start, and closed-loop speed control of each motor as a means of controlling output thrust. The validation is carried out on a low-power test bed using fractional horsepower machines. The success obtained at a small-scale suggests that the proposed strategy would be worth evaluating at higher power levels, with a potential application to commercial transport aircraft.",Transport aircraft,2020
Study on Initial Disturbance of Airborne Missile's Horizontal Backward Derailment under Continuous Gust,"This paper studies the effect of continuous gusts on the initial disturbance of the airborne missile's horizontal backward derailment on large transport aircraft. The longitudinal fluctuation of the airborne launching platform under continuous gust was obtained with different calculation methods, and the finite element model of the derailing process was established then verified by experiments. Finally, combined with the longitudinal fluctuation of the launching platform and the finite element model of the missile and launching platform, the influence of platform fluctuation on separation time, missile speed, pitch angle, and descending distance while derailing was studied and analyzed. It is found that the longitudinal fluctuation of the launching platform is similar to that of the gust but lags behind, and the missiles under the fluctuating platform have longer separation time, lower derailing speed, and greater derailing pitch angle and descending distance.",Transport aircraft,2019
Adaptive LFT control of a civil aircraft with online frequency-domain parameter estimation,"This paper describes the application of an indirect linear fractional transformation (LFT)-based state-space adaptive control scheme to a transport aircraft, within the context of the European project REconfiguration of CONtrol in Flight for Integral Global Upset REcovery. The principle of the scheme is to design and validate off-line a gain-scheduled controller, depending on the plant parameters to be estimated, and to combine it online with a model estimator, so as to minimize the onboard computational time and complexity. A modal approach, very classical for the design of a flight control law, is used to directly synthesize the static output feedback LFT controller, depending on the control and stability derivatives, ie, the parameters of the linearized aerodynamic state-space model to be estimated. Since the gain-scheduled LFT controller online depends on the parameter estimates instead of the true values, its robustness to transient and asymptotic estimation errors needs to be assessed using mu and integral quadratic constraint analysis techniques. A primary concern being an online implementation, a fully recursive frequency-domain estimation technique is proposed, with a low online computational burden and the capability to track time-varying parameters. Full nonlinear simulations along a trajectory validate the good performance properties of the combined estimator and gain-scheduled flight controller. To some extent, minimal guaranteed stability and performance properties of the adaptive scheme can be ensured by switching to a robust controller when the parameter estimates are not reliable enough, thus bypassing the Certainty Equivalence Principle.",Transport aircraft,2019
Mechanism/structure/aerodynamic multidisciplinary optimization of flexible high-lift devices for transport aircraft,"Mission adaptive variable camber wing in both chord-wise and span-wise directions that can improve the aerodynamic performance during takeoff, landing and cruising flight, will be the state-of-the-art high-lift system for next generation airliners. Based on NASA TrapWing model released on the 1st AIAA CFD High-lift Prediction Workshop, a smart high-lift system with ""Flexible Droop Nose & Single Slotted Hinge Flap combined with spoiler deflection & Flexible Trailing Edge Flap"" is proposed in this paper. The Flexible Droop Nose is actuated by kinematic chains mechanism, the Single Slotted Hinge Flap is actuated by I simple hinge mechanism and the Flexible Trailing Edge Flap is actuated by link/track mechanism.A mechanism/structure/aerodynamic multidisciplinary optimization platform based on iSIGHT software is constructed for this smart high-lift system. This platform consists of stress analysis, high-lift configuration generation, high-lift configuration structure grid generation, computational fluid dynamics and optimization algorithm modules. The optimal takeoff and landing configurations with comprehensive performance of mechanism, aerodynamic and structure is then obtained after multidisciplinary optimization. Finally, the CFD results show that the aerodynamics performance of this smart high-lift system is more effective than the original NASA TrapWing model. (C) 2018 Elsevier Masson SAS. All rights reserved.",Transport aircraft,2019
Application of Agile Model-Based Systems Engineering in aircraft conceptual design,"One of the challenges of modern engineering design is the amount of data that designers must keep track while performing system analysis and synthesis. This task is particularly important in the design process of complex systems such as novel aerospace systems where Modeling and Simulation play an essential role. The Agile philosophy stems from the field of Software Engineering and describes an approach to development in which requirements and solutions gradually develop through collaboration between self-organising cross-functional teams and end users. Agile Model-Based System Engineering (AMBSE) is the application of the Agile philosophy to Model-Based System Engineering. In this paper, AMBSE is accomplished through the application of the Object-Oriented System Engineering Method (OOSEM). OOSEM employs a top-down scenario-driven process that adopts System Modeling Language (SysML) and leverages the object-oriented paradigm to support the analysis, specification, design, and verification of systems. AMBSE assisted by mathematical modelling and safety assessment techniques is applied to the first design iterations of the main aircraft systems, allowing a comprehensive design exploration. The flight control system was chosen to illustrate the procedure in detail, emphasising the synthesis of a six-degrees-of-freedom model augmented by dynamic inversion control for a hypothetical supersonic transport aircraft satisfying class II MIL-F-8785C handling qualities. It is concluded that AMBSE presents promising properties to support future aircraft development within the current regulatory framework for aircraft design, while enabling a smooth transition from conceptual to preliminary design.",Transport aircraft,2019
Switching Control Architecture with Parametric Optimization for Aircraft Upset Recovery,"This paper describes a novel finite-state conditional switching structure that enables autonomous recovery for a large envelope of loss-of-control conditions. The switching control architecture mimics human pilot recovery actions through numerous discrete states that are activated individually as the recovery proceeds, based on guidelines inspired by the Federal Aviation Administration's suggestions for piloted upset recovery. The switching conditions between discrete states are optimized using interpolation algorithms that extend the recovery envelope while decreasing the average recovery time. The presented architecture is tested on a high-fidelity transport aircraft model under various initial angles of attack, sideslip and roll angles, and roll/pitch/yaw rates. Comparisons with previous methods are conducted to demonstrate that the proposed approach achieves a greater recoverability percentage and lower average recovery time. In addition, the proposed switching architecture is implemented on a high-fidelity F-16 model, and an example recovery scenario is given to demonstrate the implementation of our approach for an agile fighter aircraft model.",Transport aircraft,2019
Wake Turbulence Evolution and Hazard Analysis for General Aviation Takeoff Accident,"Wake turbulence is commonly a commercial aviation topic involving relatively heavy transport aircraft. However, wake turbulence is also safety relevant for business and general aviation flight operations. A detailed analysis has been conducted for a specific accident involving two aircraft of the wake turbulence category light. A four-seat aircraft with 1 ton maximum takeoff weight took off behind a biplane with 5.5 ton maximum takeoff weight. This led to a fatal accident. Based on available information and several assumptions, the wake turbulence aspects for the specific accident scenario have been assessed. The roll axis was the dominating factor in this case. Accordingly, the wake induced rolling moment was analyzed and related to the assumed available roll control power. Furthermore, the wake vortex behavior was simulated and analyzed in detail. The results indicate that wake turbulence can be considered to be the cause of the accident. The theoretical results and the conclusions regarding the accident are also supported by the results of flight tests, which were conducted in the context of the accident investigation.",Transport aircraft,2019
Vertical flight profile optimization for a cruise segment with RTA constraints,"This paper presents the results of a research performed at the Research Laboratory in Active Controls, Avionics and Aeroservoelasticty (LARCASE), at ETS, concerning optimisation strategies for cruise flight segments with imposed flight time (delimited by waypoints with required time of arrival constraints). Specifically, a new algorithm is presented that identifies the optimal vertical navigation profile (flight altitude and speed optimisation) for a cruise segment with imposed lateral navigation profile, bounded by two waypoints with required time of arrival constraints. The set of evaluated vertical navigation profiles are characterised by identical altitudes and speeds at their initial and final waypoints (at the beginning and the end of the cruise segment under optimisation), a maximum of one altitude step (relative to the initial altitude), and are flown at constant speed. This study investigates the flight performance increase (total cost reduction) for a flight along the optimal vertical navigation profile, relative to a flight at the optimal speed and initial cruise altitude. The evaluation was performed using a medium haul transport aircraft flight performance model, for three lateral navigation profiles and three wind profiles. The algorithm is targeted for Flight Management Systems platforms, to provide the optimal flight trajectory for the imposed lateral flight profile and time constraints.",Transport aircraft,2019
High-fidelity aerostructural optimization of tow-steered composite wings,"Over the past several decades, composites have increasingly become the material of choice in modern aircraft structural design. This is primarily due to the high stiffness-and strength-to-weight ratios offered by conventional composites when compared to metals. Unconventional composite designs, such as tow-steered composites, have demonstrated potential for further expanding these advantages. Unlike their conventional composite counterparts, tow-steered composites feature layers with spatially varying fiber orientations. When applied to wing design, tow-steered composites offer an increase in design freedom at the cost of higher design complexity, making them ideal candidates for design optimization. We develop a methodology for the aerostructural design optimization of tow-steered composite wings using high-fidelity physics models. We also quantify the benefits of this new technology by performing a fuel burn minimization for both a tow-steered and a conventional composite wing design. This assessment is done for the undeflected Common Research Model, which is representative of a twin-aisle transport aircraft. We find improvements of up to 2.4% in fuel burn and 24% in wing weight relative to the optimized conventional composite design. We show that this improvement is due to a combination of improved passive aeroelastic tailoring and local strength tailoring in high-stress regions in the tow-steered structure. For a higher-aspect-ratio (13.5) wing design, we find improvements of up to 1.5% and 14% in fuel savings and wing weight, respectively. To better understand the effect of aspect ratio on tow-steered wing design, we perform an optimization study where the aspect ratio is varied between 7.5 and 13.5. We found that there are diminishing returns in the benefit of tow steering as the aspect ratio is increased because less passive load alleviation is possible. (C) 2019 Elsevier Ltd. All rights reserved.",Transport aircraft,2019
Sensitivity of Aeroservoelastic Stability Characteristics Using Parametric Flutter Margins,"The recently developed parametric flutter margin method is expanded to perform efficient sensitivity studies in which linear and nonlinear flutter characteristics are calculated for changes in selected parameters. Two approaches are suggested: one for structural, aerodynamic, or control parameters that can be formulated as single-input/single-output feedback loops and one for parameters that require multiple-input/multiple-output realization. The single-input/single-output analysis is based on frequency response functions, with the formulation aiming to track the important flutter mechanisms, and is arranged such that the sensitivity to different parameters, over large-variation ranges, may be based on the same set of response functions. The multiple-input/multiple-output analysis is similarly effective but is based on eigensolutions that indicate the parametric changes needed to obtain flutter. Three numerical examples using a generic transport aircraft model, in which sensitivity with respect to stiffness and mass variations were studied, are presented. The single-input/single-output and multiple-input/multiple-output approaches are also applied for calculating damping and frequency variations with velocity that may be used as traditional V - g plots in aeroelastic design and certification tasks. The results demonstrate excellent agreement with those obtained by separate p - k solutions of the MSC/NASTRAN code and nonlinear time marching simulations.",Transport aircraft,2019
Identification of In-Flight Wingtip Folding Effects on the Roll Characteristics of a Flexible Aircraft,"Wingtip folding is a means by which an aircraft's wingspan can be extended, allowing designers to take advantage of the associated reduction in induced drag. This type of device can provide other benefits if used in flight, such as flight control and load alleviation. In this paper, the authors present a method to develop reduced order flight dynamic models for in-flight wingtip folding, which are suitable for implementation in real-time pilot-in-the-loop simulations. Aspects such as the impact of wingtip size and folding angle on aircraft roll dynamics are investigated along with failure scenarios using a time domain aeroservoelastic framework and an established system identification method. The process discussed in this paper helps remove the need for direct connection of complex physics based models to engineering flight simulators and the need for tedious programming of large look-up-tables in simulators. Instead, it has been shown that a generic polynomial model for roll aeroderivatives can be used in small roll perturbation conditions to simulate the roll characteristics of an aerodynamic derivative based large transport aircraft equipped with varying fold hinge lines and tip deflections. Moreover, the effects of wing flexibility are also considered.",Transport aircraft,2019
Boundary-layer transition of advanced fighter wings at high-speed cruise conditions,"The achievement of laminar flow in the boundary layer at high-speed cruise conditions may further, in addition to shock-wave control, reduce the drag and extend the range of military fighter aircraft. To this end, a further investigation on transitional boundary-layer flow of fighter wings is needed due to different configurations from the wings used on conventional transport aircraft. In this paper, wind tunnel experiments and numerical simulations were conducted on three-dimensional transition of thin diamond-shaped wings used on advanced fighter aircraft at tran/supersonic design points. A newly proposed correlation of crossflow transition which includes the effect of surface roughness was introduced into the gamma-Re-theta t transition model. Predicted results were in good agreement with flow visualizations. Results showed that the strength of the crossflow component grew rapidly around the leading edge because of the severe flow acceleration, just as the same as wings with a large aspect ratio. However, there seemed no regular pattern of instabilit-dominance variation in span-wise for a diamond configuration. The dominance of different instability mechanisms strongly depended on the local pressure distribution. Hereby, the research recommended a ""roof-like"" shape of pressure distribution to suppress both crossflow and Tollmien-Schlichting (T-S) instabilities. Besides, a sharp suction peak with a serious pressure rise should be cut off to avoid stronger instabilities. Further discussions also revealed an independence of the unit Reynolds number when transition was triggered by T-S instabilities. Aerodynamic force comparisons indicated that further benefit on drag reduction could be expected by including the three-dimensional transition effect into a wing design process. (C) 2019 Chinese Society of Aeronautics and Astronautics. Production and hosting by Elsevier Ltd.",Transport aircraft,2019
Higher-Order Estimations of Load Factor from Derived Gust Velocity,"Pratt's formula, in which the aircraft is modeled as a single-degree-of-freedom system, is used extensively to extract derived gust velocities from measured normal acceleration. There is evidence that airframe mass distribution along the longitudinal axis can affect the gust load alleviation factor. In this paper, the inclusion of the pitching degree of freedom in the model is explored, accounting for the aircraft mass distribution along the longitudinal axis. Two different two-degree-of-freedom models are presented and numerical solutions are offered. Atypical heavy transport aircraft is used for illustration. It is shown that the inclusion of the second degree of freedom results in as much as 10% reduction in the magnitude of the gust load alleviation factor.",Transport aircraft,2019
Using the Reynolds Stress Model to Predict Shock-Induced Separation on Transport Aircraft,"Additional results about the wing-body of the NASA Common Research Model at flight conditions derived from those of the AIAA Computational Fluid Dynamics Drag Prediction Workshop are introduced in this Paper. An initial assessment compared the widely used shear stress transport model with the full Reynolds stress model as two possible closures for the Reynolds-averaged Navier-Stokes problem. The study, based on the 6th AIAA Computational Fluid Dynamics Drag Prediction Workshop, confirmed the limitations of linear eddy-viscosity turbulence models in highly anisotropic turbulent flows. A side-of-body separation larger than previous experiments was predicted by the shear stress transport model. By comparison, the study revealed that the Reynolds stress model is capable of simulating higher-incidence transonic flight as the trends observed in the results were in overall good agreement with the experiment. The aim herein was to investigate the high-incidence transonic aerodynamics about the Common Research Model. Using Reynolds-Averaged Navier-Stokes closed with the Reynolds stress model, the aeroelastically deformed Common Research Model was then simulated at incidences outside of the Drag Prediction Workshop remit. The evolution of shock-induced boundary-layer separation was observed. A separation bubble was first predicted at an incidence of 3.5 deg, then developed in the chordwise and spanwise directions, triggering the stall of the aircraft at an incidence of 5.75 deg. Using shear lines helps one understand the three-dimensionality of this phenomenon as large areas of crossflow are present, starting in the wing-kink region and extending toward the wing tip.",Transport aircraft,2019
Structural Optimization of Internal Structure of Aircraft Wings with Curvilinear Spars and Ribs,"A new framework for optimization of the internal structure of transport aircraft wings having curvilinear spars and ribs (SpaRibs) is described. SpaRibs are parameterized by third-order B-splines with constraints on the starting, ending, and various control points. A broad range of SpaRibs topologies can be created using a limited number of parameters. For local size optimization, panels are generated from the wing finite element model by an algorithm that is independent of the nodal coordinates and the order in which the elements are distributed, and which can be used for a broad range of aircraft wings. The local panel thicknesses are optimized to satisfy buckling and stress constraints of the wing using an algorithm that increases the thickness of the panels that are found to be vulnerable to buckling or wherein the stress is higher than the maximum permissible stress. This algorithm has been integrated with the particle swarm algorithm to optimize the SpaRibs topology for multiple objectives (weight and flutter velocity). The code is demonstrated by optimizing the internal structure of the NASA Common Research Model wing model with SpaRibs considering stress and buckling constraints at trim condition at Mach number equal to 0.85 for two different angles of attack (-2 and 6 deg).",Transport aircraft,2019
A neuroadaptive architecture for model reference control of uncertain dynamical systems with performance guarantees,"Neuroadaptive control systems have the capability to approximate unstructured system uncertainties on a given compact set using neural networks. Yet, a challenge in their design is to guarantee the closed-loop system trajectories stay in this set such that the universal function approximation property is satisfied and the overall system stability is achieved. To address this challenge, we present and analyze a new neuroadaptive architecture in this paper for model reference control of uncertain dynamical systems with strict performance guarantees. Specifically, the proposed architecture is predicated on a novel set-theoretic framework and has the capability to keep the closed-loop system trajectories within an a-priori, user-defined compact set without violating the universal function approximation property. A transport aircraft example is also given to complement the presented theoretical results. (C) 2019 Elsevier B.V. All rights reserved.",Transport aircraft,2019
Constraint aggregation for large number of constraints in wing surrogate-based optimization,"The method of aggregating a large number of constraints into one or few constraints has been successfully applied to wing structural design using gradient-based local optimization. However, numerical difficulties may occur in the case that the local curvatures of the aggregated constraint become extremely large and then ill-conditioned Hessian matrix may be yielded. This paper aims to test different methods of constraint aggregation within the framework of a gradient-free optimization, which makes use of cheap-to-evaluate surrogate models to find the global optimum. Three constraint aggregation approaches are investigated: the maximum constraint approach, the constant parameter Kreisselmeier-Steinhauser (KS) function, and the adaptive KS function. We also explore methods of aggregating constraints over the entire structure and within sub-domains. Examples of structural optimization and aero-structural optimization for a transport aircraft wing are employed and the results show that (1) the KS function with a larger constant parameter rho can lead to better optimization results than the adaptive method, as the active constraints are approximated more accurately; (2) lumping the constraints within sub-domains instead of all together can improve the accuracy of the aggregated constraint and therefore helps find a better design. Finally, it is concluded from current test cases that the most efficient way of handling large-scale constraints for wing surrogate-based optimization is to aggregate constraints within sub-domains and with a relatively large constant parameter.",Transport aircraft,2019
Integral sliding mode fault-tolerant control allocation for a class of affine nonlinear system,"This paper develops novel fault-tolerant integral sliding mode control allocation schemes for a class of an overactuated affine nonlinear system. The proposed schemes rely on an existing baseline controller, and the objective is to retain the nominal (fault-free) closed-loop performance in the face of actuator faults/failures by effectively utilizing actuator redundancy. The online control allocation reroutes the control effort to healthy actuators using the knowledge of actuator effectiveness level estimates. One of the proposed schemes is tested in simulation using a well-known high-fidelity model of a large civil transport aircraft (B747) from the literature. Good simulation results show the efficacy of the scheme.",Transport aircraft,2019
Application of Low Harmonic 18-Pulse Rectifier Power Supply for Radar Power System,"Due to its low harmonic, high efficiency, and high power factor (PF), the multipulse autotransformer has been frequently used in the aviation sector. Many studies have been carried out on the theoretical calculation and simulation analysis of the autotransformer. However, the practical application of the multipulse rectifier in the practical engineering field is inevitable. This paper investigates an 18-pulse rectifier power supply of 11 kW being constructed using a multipulse autotransformer to suppress the harmonics of a radar power system, in which the parameters of the various parts are designed in detail, and test results are simulated using MATLAB/Simulink software. The actual test suggests that, at the rated condition, the PF of the rectifier is 0.99, the total harmonic distortion of the input current is below 6.7%, and the efficiency is more than 96%. The power supply is successfully applied to the radar power supply system of a large transport aircraft, and meets the requirements of an environmental test. Furthermore, the results also provide powerful application support for the power supplies and distribution systems in other fields.",Transport aircraft,2019
EXCHANGE RATE SYSTEM OF THE AIRCRAFT,"The article shows the assignment of exchange rate systems, which are the basis of Autonomous navigation of passenger and transport aircraft, and unmanned aerial vehicles. Exchange rate system with the sensors of the attitude indicator to determine the spatial orientation of the aircraft (LA) and are along with sensors such as speed, altitude, and a radio communication network a part of obligatory equipment which must operate in the aircraft from takeoff to landing, ensuring safety requirements. Issued exchange rate system options - gyromagnetic, gyrofrequency and true heading - provide navigation LA. Brief characteristics of the Earth¡¯s magnetic ?eld, considered the formation of the gyromagnetic rate based on the measurement of the two horizontal components of Earth¡¯s magnetic ?eld and interaction with high-precision gyro direction in all ?ight conditions. Given the structural and functional scheme of the modern exchange rate system ?Gyromagnetic compass GMK swift?. The work channel of the magnetic heading channel of formation of the magnetic correction devices magnetic and horizontal KORREKCII, and channel formation pyropolymer rate used in this course system. The technical data course system GMK swift. The article is intended for the development of manuals for training of students with the work of the real exchange rate systems and can also be useful to developers and maintainers of navigation and ? ight equipment of the aircraft.",Transport aircraft,2019
Development of structural health monitoring methods through the analysis of kinetics of local stressstrain state,"The paper describes one of the most promising ways of structure health monitoring based on analysis of the kinetics of local stress-strain state. Comparison with other methods of damage detection and advantages of the stress-strain state control are considered. To implement this method of monitoring, two types of sensors are considered: strain gauges and fiber Bragg gratings (FBG). The advantages of FBG, due to which their use in operation is most preferable, are presented. The possibility of using stress-strain state control is analyzed for a promising transport aircraft using the results of tensometry under cyclic loading. The relevance of the work is confirmed by various examples of using monitoring methods in on-board systems during operation. The possibility of monitoring the airframe parts is demonstrated for longitudinal fuselage joints as an example. The change in the stress-strain state of the longitudinal joints, caused by structural damage was confirmed by tensometry analysis and by analysis of the stress-strain state of bearing sheet by the finite element method (FEM), taking into account the fatigue cracks originated during cyclic loading. The results of the calculation are compared with the tensometry data. Proceeding from the results of the calculation of the stress-strain state of the damaged and undamaged structure, the zones of the greatest deformation change are determined to optimize potential locations for the sensors. The optimal placing of the sensors for monitoring the integrity of the joints is proposed. The study confirms that the method of damage monitoring of the structure, developed on the basis of changes in the kinetics of the stress-strain state, can be successfully used in tests for maintaining the integrity of joints and other places with multi-site damages, where the methods of visual and non-destructive testing are not effective.",Transport aircraft,2019
Experience in the conversion of light transport aircraft into the sanitary version,"The urgency of the problem of rational use for the purpose of medical evacuation of various aircraft, taking into account their equipment and radius of the aircraft, is shown. An experiment was conducted to convert the L-410 UHV-E3 aircraft into the sanitary version. The possibility of using unified sanitary equipment of domestic production and the manufacture of its additional elements has been studied. The order of loading and unloading of the wounded, sick and affected, the ways of organizing and performing the task of their evacuation by the flight crew in various conditions of the situation. The time and quality indicators of aircraft conversion into a sanitary version, loading and unloading of the injured were established. In the studied version of the conversion, the aircraft allows 12 victims to be transported (6 on stretchers and 6 on the seats) with an accompanying medical professional at a distance of up to 1000 km with a cruising speed of 300 km/h. The place and role of light transport aircraft in the performance of sanitary evacuation tasks are determined.",Transport aircraft,2019
Model-Based Systems Engineering for Aircraft Design With Dynamic Landing Constraints Using Object-Process Methodology,"We present a model-based systems engineering (MBSE) framework using object-process methodology (OPM, ISO 19450) for civil transport aircraft design with dynamic landing constraints. The framework integrates the aircraft system development life cycle processes into a holistic MBSE model, incorporating into it the specific aircraft dynamic loads model-based design (MBD) domain. Using this framework, we also perform model-based requirements analysis, validation, and verification. The model parameter set is governed by a unified format used for both the MBSE and MBD domains. The resulting model enables aircraft design processes to start being formalized at the early conceptual design stage and carry on to detailed design, adding value to system lifecycle processes by integrating and streamlining the MBSE and MBD domains into a more holistic framework with seamless transition between these two major stages.",Transport aircraft,2019
Impact of spanwise non-uniform discrete gusts on civil aircraft loads,"The drive for increasing flight efficiency is resulting in wing designs that are of higher aspect ratios, lower in weight, increased wingspans and, consequently, require greater attention in the disciplines of aeroelastics and loads. This trend in aircraft design, along with past research experience with flexible aircraft, motivate a review of assumptions in gust models; especially, that of the gust maintaining a uniform spanwise profile. In this paper, the authors investigate the use of spanwise varying 1 - cos gust models for loads prediction using a non-linear aeroelastic model of a conventional large transport aircraft. The comparison between a test case using conventional uni-dimensional approach and another, using multidimensional gusts, illustrates the impact of stepping away from traditional discrete tuned gust processes and adding a spanwise varying gust component. A methodology for processing and analysing the loads data arising due to the added dimension is also developed and both envelope and correlated loads are considered. Gust characteristics and resulting load factor are, respectively, considered for comparison between the two models, as both metrics define realistic gust encounters. In this case, it has been shown that spanwise variation of gust profiles leads to lower envelope loads if viewed in terms of conventional gust gradients. However, higher envelope loads are found if the maximum load factors are matched.",Transport aircraft,2019
